Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039053,12/31/2021 16:21,-78.93799635,36.00350901,7,8,,8,8,,59,69,69,69,69,0.49,0,22.2,68,0
81432039050,12/31/2021 16:21,-78.93806341,36.00346491,4,5,,5,5,,35,41,41,41,41,0.57,0,25.5,37,0
81432039050,12/31/2021 16:06,-78.93806341,36.00346491,4,4,,4,4,,32,38,38,38,38,0.57,0,25.4,37,0
81432039053,12/31/2021 16:06,-78.93799635,36.00350901,7,8,,8,8,,57,66,67,67,67,0.48,0,22.0,69,0
81432039050,12/31/2021 15:51,-78.93806341,36.00346491,4,4,,4,4,,31,36,37,37,37,0.59,0,25.5,37,0
81432039053,12/31/2021 15:51,-78.93799635,36.00350901,7,8,,8,8,,57,66,66,66,66,0.5,0,21.6,71,0
81432039050,12/31/2021 15:36,-78.93806341,36.00346491,4,4,,4,4,,31,36,36,36,36,0.56,0,25.5,36,0
81432039053,12/31/2021 15:36,-78.93799635,36.00350901,7,8,,8,8,,58,67,67,67,67,0.5,0,21.2,73,0
81432039050,12/31/2021 15:21,-78.93806341,36.00346491,4,4,,4,4,,29,34,34,34,34,0.58,0,25.6,36,0
81432039053,12/31/2021 15:21,-78.93799635,36.00350901,7,8,,8,8,,57,66,66,66,66,0.51,0,20.8,75,0
81432039050,12/31/2021 15:06,-78.93806341,36.00346491,4,4,,4,4,,28,32,33,33,33,0.57,0,25.5,36,0
81432039053,12/31/2021 15:06,-78.93799635,36.00350901,7,8,,8,8,,60,70,70,70,70,0.51,0,20.3,76,0
81432039053,12/31/2021 14:51,-78.93799635,36.00350901,7,7,,8,8,,56,66,66,66,66,0.52,0,19.9,78,0
