Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039074,02/25/2022 04:21,-78.93817,36.0036,5,5,,6,6,,44,52,52,52,52,0.66,0,7.3,84,0
81432039072,02/25/2022 04:22,-78.938232,36.001427,5,5,,5,5,,44,52,52,52,52,0.62,0,7.4,84,0
81432039050,02/25/2022 04:22,-78.93806341,36.00346491,1,1,,1,1,,9,10,11,11,11,0.5,0,25.3,34,0
81432039053,02/25/2022 04:22,-78.93799635,36.00350901,5,5,,5,5,,46,54,54,54,54,0.52,0,7.7,83,0
81432039074,02/25/2022 04:36,-78.93817,36.0036,5,5,,6,6,,44,52,52,53,53,0.66,0,7.2,84,0
81432039053,02/25/2022 04:37,-78.93799635,36.00350901,5,5,,5,5,,47,54,54,54,54,0.51,0,7.6,83,0
81432039050,02/25/2022 04:37,-78.93806341,36.00346491,1,1,,1,1,,8,10,10,10,10,0.51,0,25.3,33,0
81432039072,02/25/2022 04:37,-78.938232,36.001427,5,5,,5,5,,43,50,51,51,51,0.61,0,7.3,83,0
81432039074,02/25/2022 04:51,-78.93817,36.0036,5,5,,5,5,,43,50,51,51,51,0.65,0,7.2,84,0
81432039053,02/25/2022 04:52,-78.93799635,36.00350901,5,6,,6,6,,47,55,55,55,55,0.53,0,7.6,83,0
81432039072,02/25/2022 04:52,-78.938232,36.001427,5,5,,5,5,,42,50,50,50,50,0.64,0,7.3,84,0
81432039050,02/25/2022 04:52,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.51,0,25.2,33,0
81432039074,02/25/2022 05:06,-78.93817,36.0036,5,5,,5,5,,42,50,50,50,50,0.67,0,7.3,84,0
81432039053,02/25/2022 05:07,-78.93799635,36.00350901,5,6,,6,6,,47,55,55,55,55,0.55,0,7.7,83,0
81432039050,02/25/2022 05:07,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.5,0,25.3,34,0
81432039072,02/25/2022 05:07,-78.938232,36.001427,5,5,,5,5,,42,50,50,50,50,0.65,0,7.4,84,0
81432039074,02/25/2022 05:21,-78.93817,36.0036,5,6,,6,6,,45,53,53,53,53,0.66,0,7.3,84,0
81432039072,02/25/2022 05:22,-78.938232,36.001427,5,5,,5,5,,44,51,52,52,52,0.63,0,7.4,84,0
81432039050,02/25/2022 05:22,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.5,0,25.3,34,0
81432039053,02/25/2022 05:22,-78.93799635,36.00350901,5,6,,6,6,,47,55,55,55,55,0.51,0,7.7,83,0
81432039074,02/25/2022 05:36,-78.93817,36.0036,5,5,,5,5,,43,51,51,51,51,0.66,0,7.2,84,0
81432039050,02/25/2022 05:37,-78.93806341,36.00346491,1,1,,1,1,,8,10,10,10,10,0.52,0,25.3,33,0
81432039053,02/25/2022 05:37,-78.93799635,36.00350901,5,5,,5,5,,45,53,53,53,53,0.53,0,7.7,83,0
81432039072,02/25/2022 05:37,-78.938232,36.001427,5,5,,5,5,,42,49,50,50,50,0.63,0,7.4,84,0
81432039074,02/25/2022 05:51,-78.93817,36.0036,5,5,,5,5,,41,48,49,49,49,0.67,0,7.2,84,0
81432039072,02/25/2022 05:52,-78.938232,36.001427,5,5,,5,5,,40,48,48,48,48,0.62,0,7.4,84,0
